taxon,mass_g,source_mass,n,kingdom,phylum,class,order,family,genus,species,confidence
Garra_salweenica,46.5,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Garra,Garra salweenica,99.0
Gasterochisma_melampus,49755.5,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Scombridae,Gasterochisma,Gasterochisma melampus,99.0
Gasterosteus_aculeatus,0.45,Brown_etal_2018,1.0,Animalia,Chordata,,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,99.0
Gasterosteus_wheatlandi,5.2,Cai_etal_2025,1.0,Animalia,Chordata,,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus wheatlandi,99.0
Genicanthus_bellus,136.5,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Pomacanthidae,Genicanthus,Genicanthus bellus,99.0
Genicanthus_lamarck,351.6,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Pomacanthidae,Genicanthus,Genicanthus lamarck,99.0
Genicanthus_melanospilos,136.5,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Pomacanthidae,Genicanthus,Genicanthus melanospilos,99.0
Genyatremus_cavifrons,10.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Haemulidae,Genyatremus,Genyatremus cavifrons,99.0
Genyomyrus_donnyi,606.3,Cai_etal_2025,1.0,Animalia,Chordata,,Osteoglossiformes,Mormyridae,Genyomyrus,Genyomyrus donnyi,99.0
Genypterus_blacodes,13750.0,AnAge,1.0,Animalia,Chordata,,Ophidiiformes,Ophidiidae,Genypterus,Genypterus blacodes,99.0
Geophagus_brasiliensis,477.6,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Cichlidae,Geophagus,Geophagus brasiliensis,97.0
Geophagus_neambi,358.176648552837,fishbase,1.0,Animalia,Chordata,,Perciformes,Cichlidae,Geophagus,Geophagus neambi,99.0
Geophagus_steindachneri,156.0,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Cichlidae,Geophagus,Geophagus steindachneri,99.0
Geophagus_surinamensis,65.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Cichlidae,Geophagus,Geophagus surinamensis,99.0
Geophagus_winemilleri,274.0,fishbase,1.0,Animalia,Chordata,,Perciformes,Cichlidae,Geophagus,Geophagus winemilleri,99.0
Gephyrocharax_valencia,0.729227309247327,fishbase; Froese_2014,,Animalia,Chordata,,Characiformes,Characidae,Gephyrocharax,Gephyrocharax valencia,99.0
Geres_filamentosis,20.1128685741848,rdataretriever-predator-prey-body-ratio,1.0,Animalia,Chordata,,Perciformes,Gerreidae,Gerres,Gerres filamentosus,85.0
Gerlachea_australis,35.1,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Bathydraconidae,Gerlachea,Gerlachea australis,99.0
Gerres_cinereus,193.6,Mahe_2023,,Animalia,Chordata,,Perciformes,Gerreidae,Gerres,Gerres cinereus,99.0
Gerres_decacanthus,10.2,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Gerreidae,Gerres,Gerres decacanthus,99.0
Gerres_erythrourus,370.0,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Gerreidae,Gerres,Gerres erythrourus,99.0
Gerres_filamentosus,934.3,Cai_etal_2025,1.0,Animalia,Chordata,,Perciformes,Gerreidae,Gerres,Gerres filamentosus,99.0
Gerris_sp,0.0035,rdataretriever-predator-prey-body-ratio,1.0,Animalia,,,,,,,92.0
Gibbonsia_elegans,35.5367283405833,fishbase; Froese_2014,,Animalia,Chordata,,Perciformes,Clinidae,Gibbonsia,Gibbonsia elegans,99.0
Gibbonsia_metzi,85.8151102445978,fishbase; Froese_2014,,Animalia,Chordata,,Perciformes,Clinidae,Gibbonsia,Gibbonsia metzi,99.0
Gigantactis_vanhoeffeni,1534.3,Cai_etal_2025,1.0,Animalia,Chordata,,Lophiiformes,Gigantactinidae,Gigantactis,Gigantactis vanhoeffeni,99.0
Gila_atraria,425.0,fishbase,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Gila,Gila atraria,99.0
Gila_conspersa,1.3,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Gila,Gila conspersa,99.0
Gila_cypha,199.402446889104,fishbase; Froese_2014,,Animalia,Chordata,,Cypriniformes,Cyprinidae,Gila,Gila cypha,99.0
Gila_elegans,3026.5,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Gila,Gila elegans,99.0
Gila_nigrescens,170.6,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Gila,Gila nigrescens,99.0
Gila_robusta,998.6,Cai_etal_2025,1.0,Animalia,Chordata,,Cypriniformes,Cyprinidae,Gila,Gila robusta,99.0
